time	V(out)	I(Bat)
1.568650339123707e-006	2.827280e+001	-5.607935e-004
1.569094150187179e-006	2.827280e+001	-5.607752e-004
1.569567961805262e-006	2.827280e+001	-5.607557e-004
1.569912117722910e-006	2.827280e+001	-5.607416e-004
1.570192554466277e-006	2.827280e+001	-5.607301e-004
1.570484558791629e-006	2.827280e+001	-5.607181e-004
1.570863030042478e-006	2.827280e+001	-5.607025e-004
1.571299433319366e-006	2.827280e+001	-5.606847e-004
1.571823112194952e-006	2.827280e+001	-5.606632e-004
1.572098076227750e-006	2.827280e+001	-5.606519e-004
1.572437686134608e-006	2.827280e+001	-5.606379e-004
1.572754542724061e-006	2.827280e+001	-5.606249e-004
1.573198443322905e-006	2.827280e+001	-5.606066e-004
1.573673364671343e-006	2.827280e+001	-5.605871e-004
1.574014434653402e-006	2.827280e+001	-5.605731e-004
1.574294642114582e-006	2.827280e+001	-5.605616e-004
1.574586504990835e-006	2.827280e+001	-5.605496e-004
1.574965442762740e-006	2.827280e+001	-5.605341e-004
1.575401872509248e-006	2.827280e+001	-5.605162e-004
1.575922989111947e-006	2.827280e+001	-5.604948e-004
1.576197200028014e-006	2.827280e+001	-5.604835e-004
1.576537933125843e-006	2.827280e+001	-5.604696e-004
1.576853859580646e-006	2.827280e+001	-5.604566e-004
1.577298404943505e-006	2.827280e+001	-5.604383e-004
1.577771966239536e-006	2.827280e+001	-5.604189e-004
1.578112559422608e-006	2.827280e+001	-5.604049e-004
1.578391862025797e-006	2.827280e+001	-5.603934e-004
1.578682271411935e-006	2.827280e+001	-5.603816e-004
1.579060528681621e-006	2.827280e+001	-5.603661e-004
1.579495603063758e-006	2.827280e+001	-5.603483e-004
1.580030840189503e-006	2.827280e+001	-5.603263e-004
1.580308637928234e-006	2.827280e+001	-5.603149e-004
1.580644634772476e-006	2.827280e+001	-5.603012e-004
1.580964897052528e-006	2.827280e+001	-5.602880e-004
1.581406719777148e-006	2.827280e+001	-5.602699e-004
1.581886679057064e-006	2.827280e+001	-5.602502e-004
1.582222147724893e-006	2.827280e+001	-5.602365e-004
1.582502634835095e-006	2.827280e+001	-5.602249e-004
1.582795375837575e-006	2.827280e+001	-5.602129e-004
1.583175752565849e-006	2.827280e+001	-5.601974e-004
1.583613295052588e-006	2.827280e+001	-5.601795e-004
1.584119094508251e-006	2.827280e+001	-5.601588e-004
1.584389287848818e-006	2.827280e+001	-5.601477e-004
1.584700473629117e-006	2.827280e+001	-5.601350e-004
1.585018385651936e-006	2.827280e+001	-5.601220e-004
